Afrikaans (South Africa),af-ZA-Standard-A,af-ZA,FEMALE,Standard
Arabic,ar-XA-Standard-A,ar-XA,FEMALE,Standard
Arabic,ar-XA-Standard-B,ar-XA,MALE,Standard
Arabic,ar-XA-Standard-C,ar-XA,MALE,Standard
Arabic,ar-XA-Standard-D,ar-XA,FEMALE,Standard
Arabic,ar-XA-Wavenet-A,ar-XA,FEMALE,Premium
Arabic,ar-XA-Wavenet-B,ar-XA,MALE,Premium
Arabic,ar-XA-Wavenet-C,ar-XA,MALE,Premium
Arabic,ar-XA-Wavenet-D,ar-XA,FEMALE,Premium
Basque (Spain),eu-ES-Standard-A,eu-ES,FEMALE,Standard
Bengali (India),bn-IN-Standard-A,bn-IN,FEMALE,Standard
Bengali (India),bn-IN-Standard-B,bn-IN,MALE,Standard
Bengali (India),bn-IN-Standard-C,bn-IN,FEMALE,Standard
Bengali (India),bn-IN-Standard-D,bn-IN,MALE,Standard
Bengali (India),bn-IN-Wavenet-A,bn-IN,FEMALE,Premium
Bengali (India),bn-IN-Wavenet-B,bn-IN,MALE,Premium
Bengali (India),bn-IN-Wavenet-C,bn-IN,FEMALE,Premium
Bengali (India),bn-IN-Wavenet-D,bn-IN,MALE,Premium
Bulgarian (Bulgaria),bg-BG-Standard-A,bg-BG,FEMALE,Standard
Catalan (Spain),ca-ES-Standard-A,ca-ES,FEMALE,Standard
Chinese (Hong Kong),yue-HK-Standard-A,yue-HK,FEMALE,Standard
Chinese (Hong Kong),yue-HK-Standard-B,yue-HK,MALE,Standard
Chinese (Hong Kong),yue-HK-Standard-C,yue-HK,FEMALE,Standard
Chinese (Hong Kong),yue-HK-Standard-D,yue-HK,MALE,Standard
Czech (Czech Republic),cs-CZ-Standard-A,cs-CZ,FEMALE,Standard
Czech (Czech Republic),cs-CZ-Wavenet-A,cs-CZ,FEMALE,Premium
Danish (Denmark),da-DK-Neural2-D,da-DK,FEMALE,Premium
Danish (Denmark),da-DK-Standard-A,da-DK,FEMALE,Standard
Danish (Denmark),da-DK-Standard-C,da-DK,MALE,Standard
Danish (Denmark),da-DK-Standard-D,da-DK,FEMALE,Standard
Danish (Denmark),da-DK-Standard-E,da-DK,FEMALE,Standard
Danish (Denmark),da-DK-Wavenet-A,da-DK,FEMALE,Premium
Danish (Denmark),da-DK-Wavenet-C,da-DK,MALE,Premium
Danish (Denmark),da-DK-Wavenet-D,da-DK,FEMALE,Premium
Danish (Denmark),da-DK-Wavenet-E,da-DK,FEMALE,Premium
Dutch (Belgium),nl-BE-Standard-A,nl-BE,FEMALE,Standard
Dutch (Belgium),nl-BE-Standard-B,nl-BE,MALE,Standard
Dutch (Belgium),nl-BE-Wavenet-A,nl-BE,FEMALE,Premium
Dutch (Belgium),nl-BE-Wavenet-B,nl-BE,MALE,Premium
Dutch (Netherlands),nl-NL-Standard-A,nl-NL,FEMALE,Standard
Dutch (Netherlands),nl-NL-Standard-B,nl-NL,MALE,Standard
Dutch (Netherlands),nl-NL-Standard-C,nl-NL,MALE,Standard
Dutch (Netherlands),nl-NL-Standard-D,nl-NL,FEMALE,Standard
Dutch (Netherlands),nl-NL-Standard-E,nl-NL,FEMALE,Standard
Dutch (Netherlands),nl-NL-Wavenet-A,nl-NL,FEMALE,Premium
Dutch (Netherlands),nl-NL-Wavenet-B,nl-NL,MALE,Premium
Dutch (Netherlands),nl-NL-Wavenet-C,nl-NL,MALE,Premium
Dutch (Netherlands),nl-NL-Wavenet-D,nl-NL,FEMALE,Premium
Dutch (Netherlands),nl-NL-Wavenet-E,nl-NL,FEMALE,Premium
English (Australia),en-AU-Neural2-A,en-AU,FEMALE,Premium
English (Australia),en-AU-Neural2-B,en-AU,MALE,Premium
English (Australia),en-AU-Neural2-C,en-AU,FEMALE,Premium
English (Australia),en-AU-Neural2-D,en-AU,MALE,Premium
English (Australia),en-AU-News-E,en-AU,FEMALE,Premium
English (Australia),en-AU-News-F,en-AU,FEMALE,Premium
English (Australia),en-AU-News-G,en-AU,MALE,Premium
English (Australia),en-AU-Polyglot-1,en-AU,MALE,Premium
English (Australia),en-AU-Standard-A,en-AU,FEMALE,Standard
English (Australia),en-AU-Standard-B,en-AU,MALE,Standard
English (Australia),en-AU-Standard-C,en-AU,FEMALE,Standard
English (Australia),en-AU-Standard-D,en-AU,MALE,Standard
English (Australia),en-AU-Wavenet-A,en-AU,FEMALE,Premium
English (Australia),en-AU-Wavenet-B,en-AU,MALE,Premium
English (Australia),en-AU-Wavenet-C,en-AU,FEMALE,Premium
English (Australia),en-AU-Wavenet-D,en-AU,MALE,Premium
English (India),en-IN-Neural2-A,en-IN,FEMALE,Premium
English (India),en-IN-Neural2-B,en-IN,MALE,Premium
English (India),en-IN-Neural2-C,en-IN,MALE,Premium
English (India),en-IN-Neural2-D,en-IN,FEMALE,Premium
English (India),en-IN-Standard-A,en-IN,FEMALE,Standard
English (India),en-IN-Standard-B,en-IN,MALE,Standard
English (India),en-IN-Standard-C,en-IN,MALE,Standard
English (India),en-IN-Standard-D,en-IN,FEMALE,Standard
English (India),en-IN-Wavenet-A,en-IN,FEMALE,Premium
English (India),en-IN-Wavenet-B,en-IN,MALE,Premium
English (India),en-IN-Wavenet-C,en-IN,MALE,Premium
English (India),en-IN-Wavenet-D,en-IN,FEMALE,Premium
English (UK),en-GB-Neural2-A,en-GB,FEMALE,Premium
English (UK),en-GB-Neural2-B,en-GB,MALE,Premium
English (UK),en-GB-Neural2-C,en-GB,FEMALE,Premium
English (UK),en-GB-Neural2-D,en-GB,MALE,Premium
English (UK),en-GB-Neural2-F,en-GB,FEMALE,Premium
English (UK),en-GB-News-G,en-GB,FEMALE,Premium
English (UK),en-GB-News-H,en-GB,FEMALE,Premium
English (UK),en-GB-News-I,en-GB,FEMALE,Premium
English (UK),en-GB-News-J,en-GB,MALE,Premium
English (UK),en-GB-News-K,en-GB,MALE,Premium
English (UK),en-GB-News-L,en-GB,MALE,Premium
English (UK),en-GB-News-M,en-GB,MALE,Premium
English (UK),en-GB-Standard-A,en-GB,FEMALE,Standard
English (UK),en-GB-Standard-B,en-GB,MALE,Standard
English (UK),en-GB-Standard-C,en-GB,FEMALE,Standard
English (UK),en-GB-Standard-D,en-GB,MALE,Standard
English (UK),en-GB-Standard-F,en-GB,FEMALE,Standard
English (UK),en-GB-Studio-B,en-GB,MALE,Studio
English (UK),en-GB-Studio-C,en-GB,FEMALE,Studio
English (UK),en-GB-Wavenet-A,en-GB,FEMALE,Premium
English (UK),en-GB-Wavenet-B,en-GB,MALE,Premium
English (UK),en-GB-Wavenet-C,en-GB,FEMALE,Premium
English (UK),en-GB-Wavenet-D,en-GB,MALE,Premium
English (UK),en-GB-Wavenet-F,en-GB,FEMALE,Premium
English (US),en-US-Casual-K,en-US,MALE,Premium
English (US),en-US-Journey-D,en-US,MALE,Premium
English (US),en-US-Journey-F,en-US,FEMALE,Premium
English (US),en-US-Journey-O,en-US,FEMALE,Premium
English (US),en-US-Neural2-A,en-US,MALE,Premium
English (US),en-US-Neural2-C,en-US,FEMALE,Premium
English (US),en-US-Neural2-D,en-US,MALE,Premium
English (US),en-US-Neural2-E,en-US,FEMALE,Premium
English (US),en-US-Neural2-F,en-US,FEMALE,Premium
English (US),en-US-Neural2-G,en-US,FEMALE,Premium
English (US),en-US-Neural2-H,en-US,FEMALE,Premium
English (US),en-US-Neural2-I,en-US,MALE,Premium
English (US),en-US-Neural2-J,en-US,MALE,Premium
English (US),en-US-News-K,en-US,FEMALE,Premium
English (US),en-US-News-L,en-US,FEMALE,Premium
English (US),en-US-News-N,en-US,MALE,Premium
English (US),en-US-Polyglot-1,en-US,MALE,Premium
English (US),en-US-Standard-A,en-US,MALE,Standard
English (US),en-US-Standard-B,en-US,MALE,Standard
English (US),en-US-Standard-C,en-US,FEMALE,Standard
English (US),en-US-Standard-D,en-US,MALE,Standard
English (US),en-US-Standard-E,en-US,FEMALE,Standard
English (US),en-US-Standard-F,en-US,FEMALE,Standard
English (US),en-US-Standard-G,en-US,FEMALE,Standard
English (US),en-US-Standard-H,en-US,FEMALE,Standard
English (US),en-US-Standard-I,en-US,MALE,Standard
English (US),en-US-Standard-J,en-US,MALE,Standard
English (US),en-US-Studio-O,en-US,FEMALE,Studio
English (US),en-US-Studio-Q,en-US,MALE,Studio
English (US),en-US-Wavenet-A,en-US,MALE,Premium
English (US),en-US-Wavenet-B,en-US,MALE,Premium
English (US),en-US-Wavenet-C,en-US,FEMALE,Premium
English (US),en-US-Wavenet-D,en-US,MALE,Premium
English (US),en-US-Wavenet-E,en-US,FEMALE,Premium
English (US),en-US-Wavenet-F,en-US,FEMALE,Premium
English (US),en-US-Wavenet-G,en-US,FEMALE,Premium
English (US),en-US-Wavenet-H,en-US,FEMALE,Premium
English (US),en-US-Wavenet-I,en-US,MALE,Premium
English (US),en-US-Wavenet-J,en-US,MALE,Premium
Filipino (Philippines),fil-PH-Standard-A,fil-PH,FEMALE,Standard
Filipino (Philippines),fil-PH-Standard-B,fil-PH,FEMALE,Standard
Filipino (Philippines),fil-PH-Standard-C,fil-PH,MALE,Standard
Filipino (Philippines),fil-PH-Standard-D,fil-PH,MALE,Standard
Filipino (Philippines),fil-PH-Wavenet-A,fil-PH,FEMALE,Premium
Filipino (Philippines),fil-PH-Wavenet-B,fil-PH,FEMALE,Premium
Filipino (Philippines),fil-PH-Wavenet-C,fil-PH,MALE,Premium
Filipino (Philippines),fil-PH-Wavenet-D,fil-PH,MALE,Premium
Filipino (Philippines),fil-ph-Neural2-A,fil-PH,FEMALE,Premium
Filipino (Philippines),fil-ph-Neural2-D,fil-PH,MALE,Premium
Finnish (Finland),fi-FI-Standard-A,fi-FI,FEMALE,Standard
Finnish (Finland),fi-FI-Wavenet-A,fi-FI,FEMALE,Premium
French (Canada),fr-CA-Neural2-A,fr-CA,FEMALE,Premium
French (Canada),fr-CA-Neural2-B,fr-CA,MALE,Premium
French (Canada),fr-CA-Neural2-C,fr-CA,FEMALE,Premium
French (Canada),fr-CA-Neural2-D,fr-CA,MALE,Premium
French (Canada),fr-CA-Standard-A,fr-CA,FEMALE,Standard
French (Canada),fr-CA-Standard-B,fr-CA,MALE,Standard
French (Canada),fr-CA-Standard-C,fr-CA,FEMALE,Standard
French (Canada),fr-CA-Standard-D,fr-CA,MALE,Standard
French (Canada),fr-CA-Wavenet-A,fr-CA,FEMALE,Premium
French (Canada),fr-CA-Wavenet-B,fr-CA,MALE,Premium
French (Canada),fr-CA-Wavenet-C,fr-CA,FEMALE,Premium
French (Canada),fr-CA-Wavenet-D,fr-CA,MALE,Premium
French (France),fr-FR-Neural2-A,fr-FR,FEMALE,Premium
French (France),fr-FR-Neural2-B,fr-FR,MALE,Premium
French (France),fr-FR-Neural2-C,fr-FR,FEMALE,Premium
French (France),fr-FR-Neural2-D,fr-FR,MALE,Premium
French (France),fr-FR-Neural2-E,fr-FR,FEMALE,Premium
French (France),fr-FR-Polyglot-1,fr-FR,MALE,Premium
French (France),fr-FR-Standard-A,fr-FR,FEMALE,Standard
French (France),fr-FR-Standard-B,fr-FR,MALE,Standard
French (France),fr-FR-Standard-C,fr-FR,FEMALE,Standard
French (France),fr-FR-Standard-D,fr-FR,MALE,Standard
French (France),fr-FR-Standard-E,fr-FR,FEMALE,Standard
French (France),fr-FR-Studio-A,fr-FR,FEMALE,Studio
French (France),fr-FR-Studio-D,fr-FR,MALE,Studio
French (France),fr-FR-Wavenet-A,fr-FR,FEMALE,Premium
French (France),fr-FR-Wavenet-B,fr-FR,MALE,Premium
French (France),fr-FR-Wavenet-C,fr-FR,FEMALE,Premium
French (France),fr-FR-Wavenet-D,fr-FR,MALE,Premium
French (France),fr-FR-Wavenet-E,fr-FR,FEMALE,Premium
Galician (Spain),gl-ES-Standard-A,gl-ES,FEMALE,Standard
German (Germany),de-DE-Neural2-A,de-DE,FEMALE,Premium
German (Germany),de-DE-Neural2-B,de-DE,MALE,Premium
German (Germany),de-DE-Neural2-C,de-DE,FEMALE,Premium
German (Germany),de-DE-Neural2-D,de-DE,MALE,Premium
German (Germany),de-DE-Neural2-F,de-DE,FEMALE,Premium
German (Germany),de-DE-Polyglot-1,de-DE,MALE,Premium
German (Germany),de-DE-Standard-A,de-DE,FEMALE,Standard
German (Germany),de-DE-Standard-B,de-DE,MALE,Standard
German (Germany),de-DE-Standard-C,de-DE,FEMALE,Standard
German (Germany),de-DE-Standard-D,de-DE,MALE,Standard
German (Germany),de-DE-Standard-E,de-DE,MALE,Standard
German (Germany),de-DE-Standard-F,de-DE,FEMALE,Standard
German (Germany),de-DE-Studio-B,de-DE,MALE,Studio
German (Germany),de-DE-Studio-C,de-DE,FEMALE,Studio
German (Germany),de-DE-Wavenet-A,de-DE,FEMALE,Premium
German (Germany),de-DE-Wavenet-B,de-DE,MALE,Premium
German (Germany),de-DE-Wavenet-C,de-DE,FEMALE,Premium
German (Germany),de-DE-Wavenet-D,de-DE,MALE,Premium
German (Germany),de-DE-Wavenet-E,de-DE,MALE,Premium
German (Germany),de-DE-Wavenet-F,de-DE,FEMALE,Premium
Greek (Greece),el-GR-Standard-A,el-GR,FEMALE,Standard
Greek (Greece),el-GR-Wavenet-A,el-GR,FEMALE,Premium
Gujarati (India),gu-IN-Standard-A,gu-IN,FEMALE,Standard
Gujarati (India),gu-IN-Standard-B,gu-IN,MALE,Standard
Gujarati (India),gu-IN-Standard-C,gu-IN,FEMALE,Standard
Gujarati (India),gu-IN-Standard-D,gu-IN,MALE,Standard
Gujarati (India),gu-IN-Wavenet-A,gu-IN,FEMALE,Premium
Gujarati (India),gu-IN-Wavenet-B,gu-IN,MALE,Premium
Gujarati (India),gu-IN-Wavenet-C,gu-IN,FEMALE,Premium
Gujarati (India),gu-IN-Wavenet-D,gu-IN,MALE,Premium
Hebrew (Israel),he-IL-Standard-A,he-IL,FEMALE,Standard
Hebrew (Israel),he-IL-Standard-B,he-IL,MALE,Standard
Hebrew (Israel),he-IL-Standard-C,he-IL,FEMALE,Standard
Hebrew (Israel),he-IL-Standard-D,he-IL,MALE,Standard
Hebrew (Israel),he-IL-Wavenet-A,he-IL,FEMALE,Premium
Hebrew (Israel),he-IL-Wavenet-B,he-IL,MALE,Premium
Hebrew (Israel),he-IL-Wavenet-C,he-IL,FEMALE,Premium
Hebrew (Israel),he-IL-Wavenet-D,he-IL,MALE,Premium
Hindi (India),hi-IN-Neural2-A,hi-IN,FEMALE,Premium
Hindi (India),hi-IN-Neural2-B,hi-IN,MALE,Premium
Hindi (India),hi-IN-Neural2-C,hi-IN,MALE,Premium
Hindi (India),hi-IN-Neural2-D,hi-IN,FEMALE,Premium
Hindi (India),hi-IN-Standard-A,hi-IN,FEMALE,Standard
Hindi (India),hi-IN-Standard-B,hi-IN,MALE,Standard
Hindi (India),hi-IN-Standard-C,hi-IN,MALE,Standard
Hindi (India),hi-IN-Standard-D,hi-IN,FEMALE,Standard
Hindi (India),hi-IN-Wavenet-A,hi-IN,FEMALE,Premium
Hindi (India),hi-IN-Wavenet-B,hi-IN,MALE,Premium
Hindi (India),hi-IN-Wavenet-C,hi-IN,MALE,Premium
Hindi (India),hi-IN-Wavenet-D,hi-IN,FEMALE,Premium
